Time,Data
1.049,-0.05492392388152795
1.05,-0.05743381559170607
1.051,-0.05236891186978913
1.052,-0.04650695410904908
1.053,-0.0446684891829648
1.054,-0.050532815230494854
1.055,-0.058473334827788305
1.056,-0.06445136525275899
1.057,-0.0739958071336936
1.058,-0.0802777752992987
1.059,-0.08726828784728578
1.06,-0.10094802913135514
1.061,-0.10852536683481331
1.062,-0.10561524527955553
1.063,-0.10133834934137631
1.064,-0.10231583796154513
1.065,-0.10255675378037105
1.066,-0.10025833155683779
1.067,-0.09355886857752929
1.068,-0.09229428606213015
1.069,-0.09581033062637273
1.07,-0.09887210180895517
1.071,-0.1036931751416315
1.072,-0.11508194381169522
1.073,-0.12167803805648282
1.074,-0.12523203186689166
1.075,-0.12587135436099903
1.076,-0.11429673105819002
1.077,-0.10886651139101587
1.078,-0.10054838271809544
1.079,-0.08574478193231891
1.08,-0.07702432061664716
1.081,-0.07881136903590222
1.082,-0.08109544783018405
1.083,-0.08021919118956154
1.084,-0.08178883404512327
1.085,-0.09972734242928237
1.086,-0.11946220747594416
1.087,-0.1292131982115676
1.088,-0.1383253854050356
1.089,-0.15158351460193922
1.09,-0.1584471550299682
1.091,-0.15816128311497973
1.092,-0.15572100131151917
1.093,-0.1466971380263557
1.094,-0.13895596940295346
1.095,-0.13732607504260835
1.096,-0.13527462598438433
1.097,-0.14665258463227746
1.098,-0.15955417666958913
1.099,-0.1633135876363461
1.1,-0.1716357080783449
1.101,-0.191833066084074
1.102,-0.2061225589955309
1.103,-0.21292656358778783
1.104,-0.21512480623646266
1.105,-0.21521516337765412
1.106,-0.21436056140776866
1.107,-0.19932129206872043
1.108,-0.17929288576750232
1.109,-0.16268523990059477
1.11,-0.14688632272877153
1.111,-0.13305256813322075
1.112,-0.12695898668927597
1.113,-0.12392751975084282
1.114,-0.12183564785497784
1.115,-0.1251922661089766
1.116,-0.1252572713498904
1.117,-0.1291768817743424
1.118,-0.1341086568247638
1.119,-0.1373173058517083
1.12,-0.14023242160683635
1.121,-0.14246954401392278
